Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,40,0.5,0.005,0.3063416461226699
100% Corpus,40,0.5,0.01,0.30697688925781697
100% Corpus,40,0.5,0.05,0.30510806014850617
100% Corpus,40,0.5,0.1,0.30212784939282733
100% Corpus,40,0.5,0.2,0.2988502009184952
100% Corpus,50,0.01,0.005,0.3251771584708317
100% Corpus,50,0.01,0.01,0.3254281927925797
100% Corpus,50,0.01,0.05,0.3241296735909821
100% Corpus,50,0.01,0.1,0.32521179718785653
100% Corpus,50,0.01,0.2,0.3265516001558593
100% Corpus,50,0.05,0.005,0.3253634150871423
100% Corpus,50,0.05,0.01,0.3253634150871423
100% Corpus,50,0.05,0.05,0.32519037206940743
100% Corpus,50,0.05,0.1,0.3250377806253239
100% Corpus,50,0.05,0.2,0.32617518824075636
100% Corpus,50,0.1,0.005,0.326416691785771
100% Corpus,50,0.1,0.01,0.32592995244121375
100% Corpus,50,0.1,0.05,0.3240966987634999
100% Corpus,50,0.1,0.1,0.32459475616621325
100% Corpus,50,0.1,0.2,0.32535973296807136
100% Corpus,50,0.2,0.005,0.3229987205164489
100% Corpus,50,0.2,0.01,0.3228726013213867
100% Corpus,50,0.2,0.05,0.3239672385275324
100% Corpus,50,0.2,0.1,0.32251555412038535
100% Corpus,50,0.2,0.2,0.3232076431732005
100% Corpus,50,0.5,0.005,0.2990809049631559
100% Corpus,50,0.5,0.01,0.298056328505679
100% Corpus,50,0.5,0.05,0.29480728933403155
100% Corpus,50,0.5,0.1,0.2927862611183082
100% Corpus,50,0.5,0.2,0.2931546174279602
100% Corpus,60,0.01,0.005,0.333918516744032
100% Corpus,60,0.01,0.01,0.3338203924330766
100% Corpus,60,0.01,0.05,0.3347993657718356
100% Corpus,60,0.01,0.1,0.33684633897857147
100% Corpus,60,0.01,0.2,0.3342104664688698
100% Corpus,60,0.05,0.005,0.3373686211911858
100% Corpus,60,0.05,0.01,0.3378445480062855
100% Corpus,60,0.05,0.05,0.3345417270393243
100% Corpus,60,0.05,0.1,0.33393458615056465
100% Corpus,60,0.05,0.2,0.3350881298547739
100% Corpus,60,0.1,0.005,0.33699182936417515
100% Corpus,60,0.1,0.01,0.3359733786281968
100% Corpus,60,0.1,0.05,0.3361316907315455
100% Corpus,60,0.1,0.1,0.33341194816053277
100% Corpus,60,0.1,0.2,0.3333921462897663
100% Corpus,60,0.2,0.005,0.3328264981184239
100% Corpus,60,0.2,0.01,0.33125774510585326
100% Corpus,60,0.2,0.05,0.33170607018091675
100% Corpus,60,0.2,0.1,0.3304210196181147
100% Corpus,60,0.2,0.2,0.32916240641595773
100% Corpus,60,0.5,0.005,0.29406977030781056
100% Corpus,60,0.5,0.01,0.2937781714062394
100% Corpus,60,0.5,0.05,0.2943921266505898
100% Corpus,60,0.5,0.1,0.29260944209043244
100% Corpus,60,0.5,0.2,0.2919322231119423
